xx,sepalgland_phytools,lam_blade_phytools,petiole_phytools,lateral_organ,petal,anther,style,pedicel,NWOW,calyx,laminar,floralnec,petal_binary,lam_blade_binary,petiole_binary,X.1
Bunchosia_hookeriana,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,
Bunchosia_glandulosa,1,0,2,2,0,0,0,0,0,1,1,0,0,0,1,
Bunchosia_polystachia,1,1,0,1,0,0,0,1,0,1,1,1,0,1,0,
Bunchosia_apiculata,1,1,0,1,2,0,0,1,0,1,1,1,1,1,0,
Bunchosia_deflexa,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,
Bunchosia_plowmanii,2,1,0,1,2,1,0,0,0,1,1,1,1,1,0,
Bunchosia_matudae,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,
Bunchosia_cestrifolia,2,1,0,1,1,0,0,0,0,1,1,1,1,1,0,
Bunchosia_systyla,2,1,0,1,2,0,0,0,0,1,1,1,1,1,0,
Bunchosia_pseudonitida,1,1,0,1,2,0,0,0,0,1,1,1,1,1,0,
Bunchosia_mollis,2,1,0,1,2,0,0,0,0,1,1,1,1,1,0,
Tristellateia_australasiae,0,0,0,0,2,0,0,0,1,0,0,1,1,0,0,
Tristellateia_africana,0,2,2,4,0,0,0,0,1,0,1,0,0,1,1,
Tristellateia_madagascariensis,3,2,2,4,0,0,0,0,1,1,1,0,0,1,1,
Heladena_bunchosioides,2,1,0,1,0,0,0,0,0,1,1,0,0,1,0,
Heladena_multiflora,2,2,2,4,0,0,0,0,0,1,1,0,0,1,1,
Henleophytum_echinatum,1,2,2,4,0,0,0,0,0,1,1,0,0,1,1,
Barnebya_dispar,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,
Hymenanthera_alpina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Androstachys_johnsonii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Phyllanthus_calycinus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Drypetes_roxburghii,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Goupia_glabra,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Acalypha_californica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Endospermum_moluccanum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Denhamia_celastroides,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Atuna_racemosa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
Dichapetalum_macrocarpum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
